Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area
Lahore,2000-12-31,Yearly,6.1,1547205.0,58.29,Urban
Lahore,2001-12-31,Yearly,6.0,1791665.0,48.46,Urban
Lahore,2002-12-31,Yearly,5.8,1418000.0,40.23,Urban
Lahore,2003-12-31,Yearly,5.6,110787.0,41.04,Urban
Lahore,2004-12-31,Yearly,5.7,1578197.0,44.5,Urban
Lahore,2005-12-31,Yearly,5.5,1400607.0,59.52,Urban
Lahore,2006-12-31,Yearly,5.3,1115790.0,46.3,Urban
Lahore,2007-12-31,Yearly,5.0,487195.0,36.2,Urban
Lahore,2008-12-31,Yearly,5.2,2348688.0,49.27,Urban
Lahore,2009-12-31,Yearly,5.5,2306044.0,38.75,Urban
Lahore,2010-12-31,Yearly,6.0,1758303.0,41.34,Urban
Lahore,2011-12-31,Yearly,6.2,761379.0,35.29,Urban
Lahore,2012-12-31,Yearly,6.4,477988.0,42.73,Urban
Lahore,2013-12-31,Yearly,6.1,438948.0,59.65,Urban
Lahore,2014-12-31,Yearly,6.3,995035.0,38.26,Urban
Lahore,2015-12-31,Yearly,6.5,677339.0,49.69,Urban
Lahore,2016-12-31,Yearly,6.4,285726.0,56.56,Urban
Lahore,2017-12-31,Yearly,6.2,2888349.0,41.17,Urban
Lahore,2018-12-31,Yearly,6.0,1405276.0,35.55,Urban
Lahore,2019-12-31,Yearly,6.3,1958060.0,45.35,Urban
Lahore,2020-12-31,Yearly,6.5,883170.0,40.17,Urban
Lahore,2021-12-31,Yearly,6.7,1996667.0,45.41,Urban
Lahore,2022-12-31,Yearly,6.6,621012.0,52.23,Urban
Lahore,2023-12-31,Yearly,6.4,1738710.0,56.47,Urban
Lahore,2024-12-31,Yearly,6.2,440680.0,54.64,Urban
Faisalabad,2000-12-31,Yearly,6.1,2053199.0,37.88,Urban
Faisalabad,2001-12-31,Yearly,6.0,2114980.0,46.04,Urban
Faisalabad,2002-12-31,Yearly,5.8,2840456.0,38.54,Urban
Faisalabad,2003-12-31,Yearly,5.6,1964217.0,44.55,Urban
Faisalabad,2004-12-31,Yearly,5.7,2874763.0,43.25,Urban
Faisalabad,2005-12-31,Yearly,5.5,2890339.0,57.54,Urban
Faisalabad,2006-12-31,Yearly,5.3,884111.0,55.09,Urban
Faisalabad,2007-12-31,Yearly,5.0,2987252.0,41.32,Urban
Faisalabad,2008-12-31,Yearly,5.2,1366654.0,48.0,Urban
Faisalabad,2009-12-31,Yearly,5.5,955300.0,35.38,Urban
Faisalabad,2010-12-31,Yearly,6.0,738375.0,42.05,Urban
Faisalabad,2011-12-31,Yearly,6.2,1386439.0,39.28,Urban
Faisalabad,2012-12-31,Yearly,6.4,2632438.0,52.62,Urban
Faisalabad,2013-12-31,Yearly,6.1,347081.0,51.25,Urban
Faisalabad,2014-12-31,Yearly,6.3,1995604.0,58.91,Urban
Faisalabad,2015-12-31,Yearly,6.5,108761.0,41.2,Urban
Faisalabad,2016-12-31,Yearly,6.4,2790595.0,58.3,Urban
Faisalabad,2017-12-31,Yearly,6.2,2189701.0,54.14,Urban
Faisalabad,2018-12-31,Yearly,6.0,365301.0,47.85,Urban
Faisalabad,2019-12-31,Yearly,6.3,771591.0,39.53,Urban
Faisalabad,2020-12-31,Yearly,6.5,2449880.0,38.38,Urban
Faisalabad,2021-12-31,Yearly,6.7,1459090.0,58.46,Urban
Faisalabad,2022-12-31,Yearly,6.6,638913.0,59.45,Urban
Faisalabad,2023-12-31,Yearly,6.4,2983435.0,48.89,Urban
Faisalabad,2024-12-31,Yearly,6.2,593414.0,42.9,Urban
Rawalpindi,2000-12-31,Yearly,6.1,1331029.0,42.73,Urban
Rawalpindi,2001-12-31,Yearly,6.0,913843.0,59.31,Urban
Rawalpindi,2002-12-31,Yearly,5.8,544758.0,53.33,Urban
Rawalpindi,2003-12-31,Yearly,5.6,101190.0,49.9,Urban
Rawalpindi,2004-12-31,Yearly,5.7,2756235.0,42.2,Urban
Rawalpindi,2005-12-31,Yearly,5.5,638025.0,51.29,Urban
Rawalpindi,2006-12-31,Yearly,5.3,2166544.0,52.2,Urban
Rawalpindi,2007-12-31,Yearly,5.0,1026019.0,41.31,Urban
Rawalpindi,2008-12-31,Yearly,5.2,2872165.0,58.08,Urban
Rawalpindi,2009-12-31,Yearly,5.5,1426218.0,56.15,Urban
Rawalpindi,2010-12-31,Yearly,6.0,1411738.0,45.61,Urban
Rawalpindi,2011-12-31,Yearly,6.2,554613.0,45.66,Urban
Rawalpindi,2012-12-31,Yearly,6.4,1658509.0,35.56,Urban
Rawalpindi,2013-12-31,Yearly,6.1,1387928.0,54.53,Urban
Rawalpindi,2014-12-31,Yearly,6.3,2072134.0,50.88,Urban
